name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
109 Tau b,Candidate,,,,16.0,,,,,,26.0,,,0.232,,,,,,,,,,2005,2024-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HD 34559 b,,109 Tau,79.81919240385,22.09650594955,4.948,,3.308,2.959,2.816,71.0625,0.87975,0.87975,0.096,0.031,0.031,2.47,,,9.8,,,G8III,0.6,0.05,0.05,5012.07,3.91874,3.91874,,,"n Tau, HD 34559"
110 Vir b,Candidate,1.6,0.1,0.1,,,,,,,507.0,8.6,8.6,1.37,0.02,0.02,0.3,0.08,0.08,,,,,2004,2024-07-07,134.0,42.9,41.9,,,,,,,,,,,,,,,,,,,,,,34.7,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HIP 73620 b,,110 Vir,225.72515651496167,2.0913043610361113,4.4,3.05,2.63,2.07,1.95,58.8085,0.92595,0.92595,-0.22,0.1,0.1,1.3,,,13.4,0.9,0.9,K0IIIb,3.33,1.9,1.9,4650.0,,,,,HIP 73620
13 Boo b,Candidate,36.0,,,30.0,,,,,,494.0,,,1.235,,,0.21,,,57.0,,,,1991,2024-07-03,,,,,,,,,,,,,,,,,,,,,,,,,870.0,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HD 123782 b,,13 Boo,212.07209479918,49.45816567982,5.25,,1.95,0.92,0.86,213.555,8.084,8.084,,,,,,,78.73,,,M1.5III,,,,3791.0,122.0,122.0,,,"CF Boo, HD 123782"
14 Her d,Candidate,,,,0.28,,,,,,3765.0,77.0,77.0,,,,0.17,0.06,0.06,,,,,2023,2023-05-22,313.0,18.0,18.0,2456425.0,163.0,163.0,,,,,,,,,,,,,,,,,,,3.8,0.2,0.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,14 Her,242.5958333,43.8216667,6.67,,,,,18.1,,,0.43,0.08,0.08,0.9,,,0.708,0.085,0.085,K0 V,5.1,,,5311.0,87.0,87.0,,,
18 Leo b,Candidate,,1.2,1.2,12.7,1.2,1.2,,,,595.4,11.5,11.2,1.72,0.02,0.02,0.0,,,,,,,2004,2024-07-07,0.0,5.8,5.4,,,,,,,,,,,,,,,,,,,,,,,90.6,90.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HIP 47959 b,,18 Leo,146.59719713332,11.8,5.64,,3.16,2.368,2.146,221.155,11.449,11.449,-0.32,0.1,0.1,1.9,,,48.5,,,K4III,,,,4085.54,49.0034,49.0034,,,HIP 47959
18 Sco b,Candidate,,0.00271,0.00271,0.0213,0.00271,0.00271,,,,19.8777,0.0062,0.0062,0.1455,,,0.38,0.16,0.16,,,,,2023,2024-08-08,,,,,,,,,,,,,,,,,,,,,,,,,1.73,0.26,0.26,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HD 146233 b,,18 Sco,243.90529166666667,-8.369444444444444,5.5,,,,,14.1251,0.225,0.225,0.04,0.1,0.1,1.04,0.013,0.013,1.039,0.041,0.041,G2Va,,,,5791.0,151.1,151.1,,,HD 146233
21 Her (AB) b,Candidate,,,,36.0,,,,,,57.67,2.2,2.2,0.48,,,,,,,,,,2002,2018-12-12,,,,,,,,,,,,,,,,,,,,,,,,,580.0,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"o Her b, HD 147869 b, 21 Her b",,21 Her (AB),246.045119685,6.94821008122,5.82,,5.76,5.77,5.75,113.45,1.15,1.15,,,,4.4,,,,,,A+M,,,,9500.0,,,,,"o Her, HD 147869, 21 Her"
2MASS J0328+4856 b,Candidate,20.0,,,,,,,,,,,,,,,,,,,,,,2019,2024-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,2MASS J0328+4856,52.05572496068,48.93761687367,18.06,,,,,169.359,2.277,2.277,,,,0.395,0.021,0.021,0.403,0.013,0.013,M6,0.05,,,3153.0,157.0,157.0,,,"APX 42B, 2MASS J03281336+4856154, 2M03281336+4856154"
2MASS J0330+4943 b,Candidate,20.0,,,,,,,,,,,,,,,,,,,,,,2019,2024-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,2MASS J0330+4943,52.57893140804,49.72633326762,18.67,,,,,189.57,,,,,,0.404,0.0363,0.0363,0.411,0.0296,0.0296,M6,0.05,,,3050.0,157.0,157.0,,,"2MASS J03301892+4943348, 2M03301892+4943348, APX 160G"
2MASS J0343+2602 b,Candidate,20.0,,,,,,,,,,,,,,,,,,,,,,2019,2024-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,2MASS J0343+2602,55.85915315873,26.04192515433,16.56,,,,,132.082,1.3345,1.3345,,,,0.394,0.02,0.02,0.4027,0.0125,0.0125,M4,0.125,,,3321.0,157.0,157.0,,,"*V619 Tau, 2M03432619+2602308, 2MASS J03432619+2602308"
2MASS J1252+2735 c,Candidate,,1.2,1.2,14.5,1.2,1.2,,,,386.0,15.0,15.0,,,,0.15,0.14,0.14,,,,,2021,2024-07-17,,,,,,,,,,,,,,,,,,,,,,,,,480.0,110.0,280.0,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,2MASS J12525132+2735131 c,,2MASS J1252+2735,193.212500017,27.586944459,12.0,,,,,197.2,4.0,4.0,,,,,,,,,,G8IV,,,,,,,,,2MASS J12525132+2735131
41 Vir b,Candidate,,,,52.0,,,,,,,,,,,,,,,,,,,2021,2024-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 112097 b,,41 Vir,193.45715504199,12.41839470446,6.24,,5.61,5.518,5.467,60.6185,0.4245,0.4245,,,,1.63,0.282,0.282,1.924,0.075,0.075,F0IV-V,,,,7247.0,122.507,122.507,,,HD 112097
82 Eri f,Candidate,,0.00463,0.0057,0.03228,0.00463,0.0057,,,,331.41,3.01,5.08,0.875,0.01,0.011,0.05,0.05,0.06,,,,,2017,2024-05-28,,,,,,,,,,,,,,,,,,,,,,,,,1.09,0.15,0.19,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"e Eri f, HD 20794 f",,82 Eri,49.9833333,-43.0697222,4.26,,,,,6.06,,,-0.38,0.06,0.06,0.813,0.012,0.018,0.9,0.03,0.03,G8V,14.0,5.0,6.0,5490.0,70.0,70.0,IR Excess,,"e Eri, HD 20794, GJ 139"
82 Eri g,Candidate,,0.0009,0.0013,0.00324,0.0009,0.0013,,,,11.86,0.02,0.01,0.095,0.001,0.001,0.2,0.19,0.15,,,,,2017,2024-05-28,,,,,,,,,,,,,,,,,,,,,,,,,0.34,0.1,0.16,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"e Eri g, HD 20794 g",,82 Eri,49.9833333,-43.0697222,4.26,,,,,6.06,,,-0.38,0.06,0.06,0.813,0.012,0.018,0.9,0.03,0.03,G8V,14.0,5.0,6.0,5490.0,70.0,70.0,IR Excess,,"e Eri, HD 20794, GJ 139"
alf Crt b,Candidate,1.8,0.2,0.2,,,,,,,313.2,6.2,11.4,1.02,0.02,0.02,0.3,0.12,0.15,,,,,2004,2024-07-07,102.0,33.7,30.0,,,,,,,,,,,,,,,,,,,,,,44.9,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HIP 53740 b,,alf Crt,164.94360481576166,-18.298786220615558,4.07,2.72,2.29,1.76,1.62,43.1915,0.69295,0.69295,-0.71,0.09,0.09,1.4,,,14.9,1.1,1.1,K0IIIb,2.68,1.65,1.65,4650.0,,,,,"Alkes, HIP 53740"
alf Sct b,Candidate,,1.6,2.5,4.8,1.6,2.5,,,,349.4,5.7,9.1,1.07,0.01,0.02,0.4,0.19,0.27,,,,,2004,2024-07-07,148.3,22.9,22.3,,,,,,,,,,,,,,,,,,,,,,125.0,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HIP 91117 b,,alf Sct,278.8017798215825,-8.244070510958611,3.83,2.18,1.68,0.99,0.84,53.4188,2.31139,2.31139,0.02,0.1,0.1,1.3,,,24.58,1.17,1.17,K0IIIb,4.61,2.84,2.84,4255.09,39.3426,39.3426,,,"1 Aql, HIP 91117"
AU Mic e,Candidate,,0.017,0.021,0.111,0.017,0.021,,,,33.4,0.1,0.1,,,,,,,,,,,2023,2023-12-10,,,,2459117.1,1.0,1.0,,,,,,,,,,,,,,,,,,,11.1,1.7,2.1,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,AU Mic,311.29166667,-31.340833346,8.6,,,,,9.79,0.04,0.04,,,,0.5,0.03,0.03,0.75,0.03,0.03,M1V,0.022,0.003,0.003,3700.0,100.0,100.0,,,
bet Cet b,Candidate,,0.4,0.5,3.3,0.4,0.5,,,,357.0,4.0,4.0,1.38,0.01,0.01,0.14,0.1,0.1,,,,,2004,2024-07-07,205.2,35.4,41.4,,,,,,,,,,,,,,,,,,,,,,49.1,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HIP 3419 b,,bet Cet,10.89737875,-17.986606305555554,2.01,0.78,0.39,-0.12,-0.23,29.3772,0.707676,0.707676,-0.09,0.1,0.1,2.89,0.3,0.3,17.52,0.47,0.47,G9.5III,0.46,0.13,0.13,4828.0,59.0,59.0,,,"Diphda, 16 Cet, HIP 3419"
CHXR 74 Ab,Candidate,,,,15.0,,,,,,210.0,,,0.4,,,,,,,,,,2006,2024-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,CHXR 74 A,166.7387975695,-77.70295545355,,13.66,11.44,10.5,10.21,190.0,,,,,,0.24,,,1.24,,,M3Ve,0.002,,,3234.0,,,,,"ISO-ChaI 87, 2MASS J11065733-7742106"
CoRoT-102636650 b,Candidate,3.0,,,,,,,,,8.1,,,,,,,,,,,,,2007,2019-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,CoRoT-102636650,100.575,-1.4016667,15.16,,,,,,,,,,,0.9,,,,,,KOV,,,,,,,,,
CoRoT-102638570 b,Candidate,2.1,,,,,,,,,6.5,,,,,,,,,,,,,2007,2019-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,CoRoT-102638570,100.5875,-1.1966667,12.27,,,,,,,,,,,2.2,,,,,,K4III,,,,,,,,,
CoRoT-102638956 b,Candidate,1.0,,,,,,,,,9.4,,,,,,,,,,,,,2007,2019-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,CoRoT-102638956,100.5916667,0.5308333,13.52,,,,,,,,,,,1.0,,,,,,G2V,,,,,,,,,
CoRoT-102664207 b,Candidate,9.4,,,,,,,,,11.2,,,,,,,,,,,,,2007,2019-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,CoRoT-102664207,100.725,-1.3438889,15.5,,,,,,,,,,,1.2,,,,,,F6V,,,,,,,,,
CoRoT-102666192 b,Candidate,3.4,,,,,,,,,4.5,,,,,,,,,,,,,2007,2019-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,CoRoT-102666192,100.7375,0.3227778,14.62,,,,,,,,,,,1.3,,,,,,G2V,,,,,,,,,
CoRoT-102706026 b,Candidate,8.7,,,,,,,,,18.0,,,,,,,,,,,,,2007,2019-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,CoRoT-102706026,100.941666682,-0.841944468,14.5,,,,,,,,,,,1.2,,,,,,F8V,,,,,,,,,
CoRoT-102706986 b,Candidate,10.2,,,,,,,,,11.2,,,,,,,,,,,,,2007,2019-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,CoRoT-102706986,100.9458333,0.3972222,14.04,,,,,,,,,,,1.2,,,,,,G2V,,,,,,,,,
CoRoT-102719528 b,Candidate,4.0,,,,,,,,,10.5,,,,,,,,,,,,,2007,2019-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,CoRoT-102719528,101.0166667,0.6088889,15.9,,,,,,,,,,,1.6,,,,,,G0III,,,,,,,,,
CoRoT-102747456 b,Candidate,1.8,,,,,,,,,5.8,,,,,,,,,,,,,2007,2019-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,CoRoT-102747456,101.1791667,-1.3705556,11.9,,,,,,,,,,,2.2,,,,,,K4III,,,,,,,,,
delta Pav b,Candidate,,,,0.22,,,,,,13505.0,,,11.1,,,,,,,,,,2021,2024-09-13,,,,,,,,,,,,,,,,,,,,,,,,,4.02,0.61,0.61,,,,,,,,,,Published in a refereed paper,"Astrometry, Radial Velocity",Radial Velocity,,"HIP 99240 b, HD 190248 b, GJ 780",,delta Pav,302.183333348,-66.18194446,3.55,,,,,6.094,0.0133,0.0133,0.33,0.013,0.013,0.99,0.123,0.123,1.19,0.07,0.07,G4IV-V,6.7,0.1,0.2,5590.39,147.905,147.905,,,"HIP 99240, HD 190248"
DMPP-4 c,Candidate,,0.005,0.005,0.0384,0.005,0.005,,,,5.4196,0.003,0.077,0.06514,0.00041,0.0046,0.064,0.064,0.0,,,,,2023,2023-07-17,150.0,100.0,120.0,2457138.9,,,,,,,,,,,,,,,,,,,,,3.81,0.4,0.43,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HD 184960  c,,DMPP-4,293.58333334,51.236666674,5.7,,,,,25.43,,,-0.007,,,1.25,,,1.38,,,F5-F8V,2.15,,,6400.0,,,,,
eps Crv b,Candidate,,,,1.858,,,,,,31.50675256,,,0.305,,,0.508,,,,,,,2010,2024-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HIP 59316 b,,eps Crv,182.53116909375,-22.6197672175,2.98,1.41,0.92,0.27,0.27,,,,-0.18,0.1,0.1,4.09,0.2,0.2,53.23,1.57,1.57,K2IIIa,0.18,0.02,0.02,4314.0,42.0,42.0,,,"Minkar, 2 Crv, HIP 59316"
eps Crv c,Candidate,0.372,,,,,,,,,2.29170595,,,0.053,,,0.0793,,,,,,,2010,2024-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HIP 59316 c,,eps Crv,182.53116909375,-22.6197672175,2.98,1.41,0.92,0.27,0.27,,,,-0.18,0.1,0.1,4.09,0.2,0.2,53.23,1.57,1.57,K2IIIa,0.18,0.02,0.02,4314.0,42.0,42.0,,,"Minkar, 2 Crv, HIP 59316"
eps Psc b,Candidate,,0.1,0.16,0.77,0.1,0.16,,,,255.3,1.4,2.1,0.88,0.1,0.1,0.28,0.19,0.12,,,,,2021,2021-12-15,237.0,36.0,26.0,2455420.0,86.0,7.0,,,,,,,,,,,,,,,,,,,20.6,2.9,2.1,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,eps Psc,15.737500019,7.890000023,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaia-RVOI-002 b,Candidate,10.2740351979887,nan,inf,11.3441065252,1.44271753481,1.44271753481,,,,63.1498833559275,0.2664197,0.2664197,,,,0.0738439074412231,0.08822694,0.08822694,,,,,2022,2022-07-26,,,,2457375.96570515,20.240189,20.240189,,,,,,,,,,,,,,,,,,,546.949605659815,47.067042,47.067042,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,GAIA DR3 5811053234948685312 b,,Gaia-RVOI-002,260.052215436938,-70.0462466269729,6.6047769386916,,,,,39.7249,,,-0.783,,,1.093658,0.0544100000000001,0.0557879999999999,,,,,,,,5758.985,,,,,GAIA DR3 5811053234948685312
Gaia-RVOI-003 b,Candidate,11.2353383616174,nan,inf,12.4007016073,1.78406412061,1.78406412061,,,,3.31108965675264,0.0004997354,0.0004997354,,,,0.235386197535599,0.06692111,0.06692111,,,,,2022,2022-07-26,,,,2457388.34193473,0.16331352,0.16331352,,,,,,,,,,,,,,,,,,,1762.73979220665,143.76336,143.76336,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,GAIA DR3 1960397110271260416 b,,Gaia-RVOI-003,328.880264512753,42.0079463404263,9.66596241346035,,,,,93.0248,,,0.0379,,,0.98066413,0.06705483,0.0595664699999999,,,,,,,,5833.263,,,,,GAIA DR3 1960397110271260416
Gaia-RVOI-004 b,Candidate,6.25574900481877,nan,inf,7.00363399189,0.978763761047,0.978763761047,,,,3.51902593360359,0.0006792845,0.0006792845,,,,0.120948080555229,0.12444889,0.12444889,,,,,2022,2022-07-26,,,,2457389.94308436,0.42006806,0.42006806,,,,,,,,,,,,,,,,,,,811.304788863294,68.88886,68.88886,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,GAIA DR3 5815783196557356160 b,,Gaia-RVOI-004,248.702315430556,-65.8761433608109,8.13201159130924,,,,,94.345,,,-0.4006,,,1.252709,0.0742230000000001,0.0684399999999998,,,,,,,,6277.676,,,,,GAIA DR3 5815783196557356160
Gaia-RVOI-005 b,Candidate,12.0495474544312,nan,inf,13.0101253775,1.47290566889,1.47290566889,,,,4.52033081250334,0.00077809114,0.00077809114,,,,0.104762850415418,0.077784844,0.077784844,,,,,2022,2022-07-26,,,,2457389.02388115,0.37164962,0.37164962,,,,,,,,,,,,,,,,,,,1322.23194635436,98.094665,98.094665,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,GAIA DR3 4293641151861579392 b,,Gaia-RVOI-005,289.597407434051,5.13112290475668,7.13979617682357,,,,,66.2893,,,-0.4436,,,1.3412898,0.0618202999999999,0.0524536,,,,,,,,6323.499,,,,,GAIA DR3 4293641151861579392
Gaia-RVOI-006 b,Candidate,7.93366886654096,nan,inf,8.54282677946,0.896913702836,0.896913702836,,,,0.648384267567691,4.1115978e-05,4.1115978e-05,,,,0.1478199596241,0.09630813,0.09630813,,,,,2022,2022-07-26,,,,2457389.20407431,0.0765961,0.0765961,,,,,,,,,,,,,,,,,,,1580.14307252656,101.987556,101.987556,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,GAIA DR3 4640118087748205440 b,,Gaia-RVOI-006,38.32049721574,-75.8933900749972,6.8495356186748,,,,,70.0601,,,-0.7291,,,1.4544207,0.0564423000000001,0.0549569999999999,,,,,,,,6485.0737,,,,,GAIA DR3 4640118087748205440
Gaia-RVOI-007 b,Candidate,5.22928870731196,nan,inf,5.69181006402,0.689304010678,0.689304010678,,,,0.841994765071054,2.5226407e-05,2.5226407e-05,,,,0.217172849265714,0.063250944,0.063250944,,,,,2022,2022-07-26,,,,2457388.9841365,0.043091267,0.043091267,,,,,,,,,,,,,,,,,,,1189.68296197239,83.4374,83.4374,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,GAIA DR3 2091616538779496320 b,,Gaia-RVOI-007,282.254491378017,34.5424667367354,7.74796796347986,,,,,59.2956,,,-0.6254,,,1.0835845,0.0593979,0.0563519000000001,,,,,,,,5857.9316,,,,,GAIA DR3 2091616538779496320
Gaia-RVOI-008 b,Candidate,11.0256861512675,nan,inf,12.1044935557,1.55660713932,1.55660713932,,,,0.6592772470548,2.423592e-05,2.423592e-05,,,,0.125127013786136,0.09287438,0.09287438,,,,,2022,2022-07-26,,,,2457388.89125523,0.09121666,0.09121666,,,,,,,,,,,,,,,,,,,2084.82634483912,193.00266,193.00266,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,GAIA DR3 6807915831546579968 b,,Gaia-RVOI-008,316.983279689594,-22.3354466175693,7.80756776975211,,,,,129.0595,,,-0.682,,,1.59762,0.0580039999999999,0.053542,,,,,,,,7152.908,,,,,GAIA DR3 6807915831546579968
Gaia-RVOI-009 b,Candidate,10.8057531950555,nan,inf,11.6312618327,1.73818194161,1.73818194161,,,,1.2176817169676,5.587383e-05,5.587383e-05,,,,0.435792603271292,0.07569146,0.07569146,,,,,2022,2022-07-26,,,,2457388.51898025,0.024303714,0.024303714,,,,,,,,,,,,,,,,,,,1946.10473810677,163.85183,163.85183,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,GAIA DR3 2850121988181063680 b,,Gaia-RVOI-009,2.04268906121262,25.300173714881,8.74846138138593,,,,,156.5875,,,-0.6828,,,1.4209491,0.0522445,0.0554109999999999,,,,,,,,6626.7124,,,,,GAIA DR3 2850121988181063680
Gaia-RVOI-010 b,Candidate,12.2504745443118,nan,inf,13.1096769486,1.69155490149,1.69155490149,,,,2.63904959922883,0.00028192418,0.00028192418,,,,0.572441978223413,0.043158494,0.043158494,,,,,2022,2022-07-26,,,,2457389.18073306,0.040941402,0.040941402,,,,,,,,,,,,,,,,,,,1881.59015903471,112.11436,112.11436,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,GAIA DR3 234837576111708288 b,,Gaia-RVOI-010,51.8588305256311,38.0419026248503,7.69805616052366,,,,,,,,,,,1.397178,0.068454,0.0609241,,,,,,,,,,,,,GAIA DR3 234837576111708288
GJ 1074 b,Candidate,,0.0041,0.0041,0.016,0.0041,0.0041,,,,7.14,0.005,0.78,,,,,,,,,,,2022,2022-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,GJ 1074,74.691666682,50.943888916,10.0,,,,,21.054,0.002,0.002,-0.13,0.09,0.09,0.54,0.05,0.05,,,,M1V,,,,2071.0,,,,,
GJ 21 b,Candidate,,0.0044,0.0044,0.0182,0.0044,0.0044,,,,30.3,2.4,0.1,,,,,,,,,,,2022,2022-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,GJ 21,6.720833351,70.14250001,10.0,,,,,16.162,0.008,0.008,-0.11,0.09,0.09,0.54,0.05,0.05,,,,M1V,,,,1893.0,,,,,
GJ 300 b,Candidate,,,,0.023,,,,,,8.33,,,,,,,,,,,,,2024,2024-08-30,,,,,,,,,,,,,,,,,,,,,,,,,7.14,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,GJ 300,123.17033333333333,-21.551938888888888,,,,,,8.117,0.002,0.002,,,,0.27,0.09,0.09,,,,M3.5V,,,,,,,,,
GJ 3090 c,Candidate,,0.0047,0.0047,0.045,0.0047,0.0047,,,,12.736,0.03,0.023,0.086,0.0039,0.0039,0.23,0.13,0.13,,,,,2022,2022-07-29,357.0,0.37,0.31,2458370.39,0.9,1.3,,,,,,,,,,,,,,,,,,,6.23,0.75,0.75,420.0,11.0,11.0,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,GJ 3090,20.437500015,-46.71444447,11.0,,,,,22.444,0.013,0.013,-0.06,0.12,0.12,0.519,0.013,0.013,0.516,0.016,0.016,,,,,3556.0,70.0,70.0,,,TOI-177
GJ 3378 b,Candidate,,0.00305,0.00296,0.01655,0.00305,0.00296,,,,24.728,0.06,0.056,0.106,0.003,0.003,0.36,0.16,0.13,,,,,2024,2024-06-18,-0.01,0.51,0.51,,,,2459181.2,1.1,1.7,,,,,,,,,,,,,,,,3.08,0.58,0.6,260.0,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,GJ 3378,90.29602297717084,59.597190018169165,,,7.465,6.639,6.949,7.73,,,-0.05,0.1,0.1,0.26,0.02,0.02,0.288,0.00855,0.00855,M4V,,,,3280.0,157.0,157.0,,Yes,"G 192-13, LHS 1805"
GJ 3822 b,Candidate,,0.011,0.0098,0.0658,0.011,0.0098,,,,25.151,0.055,0.081,,,,,,,,,,,2022,2022-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,GJ 3822,210.58333334,13.689722241,10.6,,,,,20.36,0.01,0.01,-0.12,0.09,0.09,0.58,0.06,0.06,,,,M1V,,,,2088.0,,,,,
GJ 3942 c,Candidate,,0.0016,0.0016,0.0199,0.0016,0.0016,,,,10.378,0.089,0.089,0.0798,0.0089,0.0089,,,,,,,,2017,2017-09-21,,,,,,,,,,,,,,,,,,,,,,,,,2.52,0.07,0.07,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 3942,242.262500001,52.943888916,10.0,,,,,16.93,0.3,0.3,-0.04,0.09,0.09,0.63,0.07,0.07,0.61,0.06,0.06,M0,,,,3867.0,69.0,69.0,,,
GJ 548A b,Candidate,,2.2,2.2,9.5,2.2,2.2,,,,13.08,0.035,0.063,,,,,,,,,,,2022,2022-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,GJ 548A,216.429166681,23.616944457,9.7,,,,,16.33,0.008,0.008,-0.1,0.09,0.09,0.64,0.08,0.08,,,,M3V,,,,909.0,,,,,
GJ 620 b,Candidate,,0.0085,0.0085,0.02322,0.0085,0.0085,,,,7.652,0.005,0.012,0.063,0.005,0.005,0.06,0.05,0.16,,,,,2019,2020-01-13,84.0,80.0,272.0,,,,,,,,,,,,,,,,,,,,,,3.34,1.3,1.0,,,,,,,,,,Published in a refereed paper,Radial Velocity,Spectrum,,,,GJ 620,245.783333336,-24.709722244,10.0,,,,,16.54,0.01,0.01,,,,0.61,,,,,,M2V,,,,,,,,,HIP 80268
