name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
L 98-59 f,Candidate,,0.00258,0.00208,0.00774,0.00258,0.00208,,,,23.15,0.17,0.6,0.103,0.0044,0.0042,0.21,0.18,0.18,,,,,2021,2021-08-06,357.0,76.0,85.0,2458435.4,2.5,2.5,,,,,,,,,,,,,,,,,,,1.37,0.43,0.33,285.0,18.0,18.0,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,TOI-175 f,,L 98-59,124.53175600520423,-68.31300150684203,11.7,,,,,10.623,0.03,0.03,-0.5,0.5,0.5,0.32,0.03,0.03,0.291,0.025,0.025,,,,,3500.0,150.0,150.0,,,TOI-175
LHS 1140 d,Candidate,,0.0038,0.0041,0.0151,0.0038,0.0041,,,,79.22,0.58,0.55,,,,,,,,,,,2020,2024-09-30,,,,,,,,,,,,,,,,,,,,,,,,,2.21,0.57,0.59,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,LHS 1140,11.245833353,-15.271388898,14.15,,,,,12.47,0.42,0.42,-0.24,0.1,0.1,0.146,0.019,0.019,0.186,0.013,0.013,M4.5,5.0,0.0,8.0,3131.0,100.0,100.0,,,
LoTr 5 Ab,Candidate,,,,10.3,,,,,,129.8,1.6,1.6,0.518,,,0.6,0.31,0.17,,,,,2018,2024-08-08,,,,,,,,,,,,,,,,,,,,,,2454976.0,8.0,50.0,279.0,13.3,28.0,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,LoTr 5 A,193.89061296184,25.8918220239,8.88,,,,,498.798,11.5845,11.5845,,,,1.1,,,10.4,,,G5III,,,,5410.0,250.0,250.0,,,"IN Com, HD 112313"
LoTr 5 Ac,Candidate,,,,5.8,,,,,,5.96675,0.00051,0.00051,0.0665,,,,,,,,,,2018,2024-08-08,,,,,,,,,,,,,,,,,,,,,,,,,609.0,28.0,28.0,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,LoTr 5 A,193.89061296184,25.8918220239,8.88,,,,,498.798,11.5845,11.5845,,,,1.1,,,10.4,,,G5III,,,,5410.0,250.0,250.0,,,"IN Com, HD 112313"
LP 427-16 b,Candidate,,,,12.0,,,,,,17700.0,11300.0,11300.0,10.56,,,0.0,,,,,,,2021,2024-08-08,,,,,,,,,,,,,,,,,,,,,,,,,820.0,570.0,580.0,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,LP 427-16,138.51326348015,19.66827295003,12.17,,8.424,7.824,7.535,22.891,0.0754,0.0754,,,,0.491,0.019,0.019,0.485,0.0146,0.0146,M3V,,,,3460.0,157.0,157.0,,,
LP 714-47 c,Candidate,,0.0069,0.0044,0.0541,0.0069,0.0044,,,,16.06,0.1,0.1,0.104,0.001,0.001,0.12,0.09,0.16,,,,,2020,2020-11-04,92.0,31.0,44.0,,,,,,,,,,,,,,,,,,,,,,6.3,0.7,0.4,445.0,16.0,13.0,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,TOI-442 c,,LP 714-47,64.191666682,-12.085000003,10.0,,,,,52.7,0.11,0.11,0.41,0.16,0.16,0.59,0.02,0.02,0.584,0.016,0.016,M0V,,,,3950.0,51.0,51.0,,,TOI-442
NGC 3680 MMU 41 b,Candidate,,0.066,0.066,5.13,0.066,0.066,,,,1154.98,9.96,9.96,2.53,0.03,0.03,0.21,0.1,0.1,,,,,2023,2023-11-20,57.0,,,2451819.88,,,,,,,,,,,,,,,,,,,,,74.79,9.5,9.5,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,NGC 3680 MMU 41,171.454166683,-43.164722237,10.9,,,,,938.0,,,-0.16,0.02,0.02,1.64,0.06,0.06,11.44,0.57,0.57,,1.78,,,4612.0,12.0,12.0,,,
nu3 CMa Ab,Candidate,8.3,1.0,1.3,,,,,,,199.4,2.3,3.7,1.81,0.02,0.03,0.34,0.19,0.31,,,,,2004,2024-07-07,48.6,47.1,25.1,,,,,,,,,,,,,,,,,,,,,,151.6,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HIP 31700 b,,nu3 CMa A,99.47258909203,-18.23748068501,4.43,2.97,2.5,1.9,1.78,146.479,5.129,5.129,-0.09,0.1,0.1,3.36,0.52,0.52,28.66,2.43,2.43,K1III,0.36,0.23,0.23,4623.0,133.0,133.0,,,"8 CMa A, HD 47442 A, HIP 31700"
nu Psc b,Candidate,,0.8,0.8,9.6,0.8,0.8,,,,590.3,15.4,13.1,1.77,0.03,0.03,0.14,0.1,0.1,,,,,2004,2024-07-07,205.2,35.4,41.4,,,,,,,,,,,,,,,,,,,,,,143.9,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HIP 7884 b,,nu Psc,25.357892261787082,5.48761163456,4.44,2.67,2.19,1.49,1.36,106.586,3.336,3.336,-0.27,0.1,0.1,1.28,0.22,0.22,36.64,2.4,2.4,K3III,2.54,0.47,0.47,4136.0,91.0,91.0,,,"106 Psc, 51 Cet, HIP 7884"
ome2 Sco b,Candidate,,,,3.382,,,,,,4405.19271824,,,5.265,,,0.012,,,,,,,2010,2024-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HIP 78990 b,,ome2 Sco,241.85136255822417,-20.868764431784722,4.33,3.25,2.85,2.53,2.33,91.9469,2.91945,2.91945,-0.05,0.1,0.1,3.24,0.06,0.06,14.41,0.6,0.6,G4III,0.3,0.01,0.01,5313.0,80.0,80.0,,,"10 Sco, HIP 78990"
ome2 Sco c,Candidate,,,,0.503,,,,,,421.92488732,,,1.101,,,0.2298,,,,,,,2010,2024-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HIP 78990 c,,ome2 Sco,241.85136255822417,-20.868764431784722,4.33,3.25,2.85,2.53,2.33,91.9469,2.91945,2.91945,-0.05,0.1,0.1,3.24,0.06,0.06,14.41,0.6,0.6,G4III,0.3,0.01,0.01,5313.0,80.0,80.0,,,"10 Sco, HIP 78990"
